# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data
# are obtained for potential use in a publication or presentation,
# GML should be informed at the outset of the nature of this work.
# If the GML data are essential to the work, or if an important
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Wed Jul  5 04:05:10 2023
#
# RECIPROCITY
#
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, modeled mole fractions, and additional information
# necessary for other scientists to repeat the work and to run
# modified versions. Model availability includes collaborative
# support for new users of the models.
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc
1987,10,1987.792,1691.57,0.83,1686.02,0.41
1987,11,1987.875,1691.16,0.73,1686.86,0.41
1987,12,1987.958,1690.51,0.88,1687.69,0.41
1988,1,1988.042,1691.95,0.83,1688.53,0.43
1988,2,1988.125,1692.48,0.81,1689.32,0.46
1988,3,1988.208,1691.29,0.99,1690.11,0.50
1988,4,1988.292,1689.98,1.00,1690.95,0.53
1988,5,1988.375,1689.03,1.03,1691.79,0.57
1988,6,1988.458,1687.15,1.10,1692.66,0.60
1988,7,1988.542,1685.89,0.75,1693.55,0.62
1988,8,1988.625,1689.35,1.00,1694.48,0.64
1988,9,1988.708,1696.28,1.21,1695.43,0.65
1988,10,1988.792,1701.31,1.25,1696.40,0.65
1988,11,1988.875,1702.90,1.20,1697.38,0.65
1988,12,1988.958,1702.00,1.02,1698.39,0.64
1989,1,1989.042,1700.55,0.96,1699.42,0.62
1989,2,1989.125,1701.08,1.07,1700.40,0.61
1989,3,1989.208,1702.55,1.26,1701.39,0.59
1989,4,1989.292,1703.65,1.02,1702.39,0.58
1989,5,1989.375,1703.42,0.49,1703.38,0.56
1989,6,1989.458,1700.27,0.83,1704.35,0.56
1989,7,1989.542,1698.21,0.87,1705.30,0.55
1989,8,1989.625,1701.97,0.97,1706.23,0.55
1989,9,1989.708,1707.19,1.02,1707.12,0.56
1989,10,1989.792,1710.51,1.09,1707.98,0.57
1989,11,1989.875,1713.08,0.86,1708.80,0.59
1989,12,1989.958,1713.18,0.87,1709.59,0.61
1990,1,1990.042,1711.98,1.13,1710.36,0.63
1990,2,1990.125,1713.34,1.29,1711.07,0.65
1990,3,1990.208,1714.37,0.94,1711.75,0.66
1990,4,1990.292,1712.62,0.96,1712.43,0.68
1990,5,1990.375,1710.68,1.00,1713.10,0.69
1990,6,1990.458,1708.35,0.80,1713.76,0.70
1990,7,1990.542,1706.35,0.72,1714.42,0.71
1990,8,1990.625,1710.09,1.32,1715.11,0.72
1990,9,1990.708,1717.57,1.44,1715.82,0.72
1990,10,1990.792,1722.03,1.05,1716.57,0.72
1990,11,1990.875,1723.50,0.93,1717.37,0.73
1990,12,1990.958,1723.36,1.01,1718.24,0.73
1991,1,1991.042,1721.60,1.16,1719.19,0.73
1991,2,1991.125,1721.22,1.16,1720.17,0.72
1991,3,1991.208,1722.14,0.97,1721.23,0.72
1991,4,1991.292,1722.53,1.07,1722.39,0.72
1991,5,1991.375,1722.20,1.11,1723.62,0.72
1991,6,1991.458,1719.02,1.17,1724.89,0.72
1991,7,1991.542,1716.06,1.01,1726.20,0.71
1991,8,1991.625,1719.23,1.13,1727.53,0.71
1991,9,1991.708,1726.19,1.51,1728.82,0.71
1991,10,1991.792,1732.74,0.97,1730.05,0.71
1991,11,1991.875,1737.50,0.92,1731.21,0.71
1991,12,1991.958,1739.67,1.01,1732.26,0.70
1992,1,1992.042,1738.86,0.97,1733.21,0.69
1992,2,1992.125,1737.34,1.00,1733.96,0.67
1992,3,1992.208,1736.96,0.92,1734.58,0.66
1992,4,1992.292,1736.62,0.57,1735.06,0.63
1992,5,1992.375,1734.92,0.78,1735.39,0.61
1992,6,1992.458,1731.61,1.08,1735.59,0.58
1992,7,1992.542,1728.86,1.19,1735.67,0.55
1992,8,1992.625,1730.41,1.07,1735.65,0.53
1992,9,1992.708,1734.70,0.77,1735.57,0.51
1992,10,1992.792,1737.75,0.75,1735.45,0.49
1992,11,1992.875,1739.30,1.05,1735.32,0.48
1992,12,1992.958,1738.58,0.93,1735.21,0.47
1993,1,1993.042,1735.75,0.84,1735.13,0.46
1993,2,1993.125,1734.39,0.87,1735.12,0.46
1993,3,1993.208,1735.51,0.90,1735.17,0.45
1993,4,1993.292,1736.66,0.69,1735.30,0.46
1993,5,1993.375,1734.96,0.77,1735.51,0.46
1993,6,1993.458,1730.86,0.90,1735.80,0.47
1993,7,1993.542,1728.01,0.96,1736.16,0.49
1993,8,1993.625,1731.18,1.00,1736.59,0.51
1993,9,1993.708,1738.49,0.98,1737.06,0.54
1993,10,1993.792,1743.34,0.95,1737.57,0.57
1993,11,1993.875,1745.17,0.80,1738.12,0.60
1993,12,1993.958,1744.28,0.90,1738.68,0.62
1994,1,1994.042,1741.41,0.94,1739.27,0.64
1994,2,1994.125,1740.86,1.00,1739.85,0.66
1994,3,1994.208,1741.93,0.89,1740.42,0.66
1994,4,1994.292,1741.90,0.75,1741.03,0.66
1994,5,1994.375,1740.63,1.08,1741.63,0.65
1994,6,1994.458,1736.93,1.25,1742.25,0.63
1994,7,1994.542,1732.40,1.18,1742.86,0.61
1994,8,1994.625,1734.08,1.17,1743.49,0.58
1994,9,1994.708,1742.97,0.91,1744.11,0.56
1994,10,1994.792,1749.83,0.69,1744.72,0.53
1994,11,1994.875,1751.24,0.75,1745.32,0.51
1994,12,1994.958,1751.56,0.81,1745.91,0.49
1995,1,1995.042,1751.02,0.91,1746.47,0.48
1995,2,1995.125,1749.39,0.92,1746.98,0.47
1995,3,1995.208,1748.95,0.65,1747.46,0.47
1995,4,1995.292,1749.44,0.74,1747.91,0.47
1995,5,1995.375,1747.70,1.04,1748.31,0.46
1995,6,1995.458,1742.84,0.98,1748.66,0.46
1995,7,1995.542,1740.06,0.97,1748.97,0.46
1995,8,1995.625,1743.48,1.24,1749.25,0.47
1995,9,1995.708,1749.73,1.20,1749.48,0.47
1995,10,1995.792,1754.23,0.71,1749.69,0.48
1995,11,1995.875,1755.31,0.85,1749.88,0.50
1995,12,1995.958,1753.75,0.93,1750.06,0.52
1996,1,1996.042,1752.32,0.96,1750.24,0.55
1996,2,1996.125,1752.91,1.02,1750.41,0.58
1996,3,1996.208,1752.40,0.90,1750.59,0.61
1996,4,1996.292,1749.86,0.90,1750.79,0.64
1996,5,1996.375,1748.63,0.99,1751.00,0.66
1996,6,1996.458,1746.22,0.97,1751.21,0.68
1996,7,1996.542,1742.21,0.93,1751.44,0.69
1996,8,1996.625,1744.67,1.26,1751.67,0.69
1996,9,1996.708,1753.03,1.37,1751.89,0.68
1996,10,1996.792,1758.96,0.97,1752.11,0.66
1996,11,1996.875,1759.91,0.90,1752.33,0.63
1996,12,1996.958,1756.83,0.78,1752.55,0.60
1997,1,1997.042,1753.35,0.88,1752.77,0.55
1997,2,1997.125,1753.83,0.97,1753.00,0.50
1997,3,1997.208,1755.64,0.76,1753.24,0.45
1997,4,1997.292,1755.53,0.88,1753.52,0.41
1997,5,1997.375,1753.89,0.66,1753.85,0.37
1997,6,1997.458,1750.20,0.86,1754.24,0.34
1997,7,1997.542,1746.16,0.96,1754.70,0.33
1997,8,1997.625,1747.94,0.86,1755.25,0.34
1997,9,1997.708,1755.09,0.87,1755.90,0.36
1997,10,1997.792,1760.22,0.74,1756.64,0.39
1997,11,1997.875,1761.67,0.85,1757.48,0.42
1997,12,1997.958,1761.92,0.72,1758.41,0.45
1998,1,1998.042,1761.49,0.83,1759.45,0.48
1998,2,1998.125,1761.55,1.34,1760.51,0.50
1998,3,1998.208,1763.04,1.54,1761.61,0.51
1998,4,1998.292,1764.69,1.06,1762.79,0.53
1998,5,1998.375,1764.21,0.83,1763.97,0.54
1998,6,1998.458,1760.33,0.65,1765.14,0.55
1998,7,1998.542,1756.12,0.94,1766.28,0.57
1998,8,1998.625,1760.07,0.89,1767.36,0.59
1998,9,1998.708,1770.51,1.26,1768.36,0.61
1998,10,1998.792,1776.19,1.21,1769.26,0.63
1998,11,1998.875,1775.57,0.83,1770.05,0.65
1998,12,1998.958,1774.18,0.81,1770.75,0.66
1999,1,1999.042,1773.97,0.97,1771.34,0.67
1999,2,1999.125,1774.15,1.35,1771.82,0.67
1999,3,1999.208,1774.75,1.13,1772.20,0.66
1999,4,1999.292,1774.94,0.74,1772.51,0.64
1999,5,1999.375,1772.66,0.88,1772.76,0.62
1999,6,1999.458,1767.42,0.85,1772.95,0.59
1999,7,1999.542,1762.99,0.80,1773.10,0.57
1999,8,1999.625,1764.71,0.83,1773.21,0.56
1999,9,1999.708,1771.12,0.86,1773.29,0.55
1999,10,1999.792,1776.63,0.84,1773.36,0.55
1999,11,1999.875,1778.56,0.68,1773.41,0.56
1999,12,1999.958,1777.30,0.73,1773.44,0.57
2000,1,2000.042,1775.70,1.00,1773.46,0.59
2000,2,2000.125,1775.82,1.23,1773.46,0.60
2000,3,2000.208,1776.84,1.33,1773.45,0.61
2000,4,2000.292,1777.36,1.28,1773.40,0.62
2000,5,2000.375,1774.62,1.10,1773.33,0.63
2000,6,2000.458,1768.22,0.97,1773.22,0.63
2000,7,2000.542,1763.59,0.77,1773.09,0.63
2000,8,2000.625,1765.66,1.08,1772.92,0.63
2000,9,2000.708,1772.21,1.13,1772.74,0.63
2000,10,2000.792,1777.13,0.80,1772.53,0.63
2000,11,2000.875,1777.75,0.88,1772.32,0.63
2000,12,2000.958,1775.33,1.01,1772.10,0.64
2001,1,2001.042,1772.86,0.86,1771.87,0.64
2001,2,2001.125,1772.53,0.96,1771.68,0.63
2001,3,2001.208,1773.69,1.02,1771.50,0.63
2001,4,2001.292,1773.87,0.65,1771.34,0.62
2001,5,2001.375,1770.77,0.76,1771.21,0.61
2001,6,2001.458,1765.92,1.02,1771.11,0.60
2001,7,2001.542,1762.79,1.05,1771.05,0.58
2001,8,2001.625,1764.35,1.00,1771.03,0.56
2001,9,2001.708,1770.46,0.93,1771.03,0.54
2001,10,2001.792,1775.52,0.70,1771.07,0.51
2001,11,2001.875,1776.57,0.69,1771.13,0.49
2001,12,2001.958,1775.95,0.95,1771.21,0.48
2002,1,2002.042,1774.09,1.08,1771.32,0.46
2002,2,2002.125,1772.81,1.00,1771.44,0.46
2002,3,2002.208,1773.39,0.66,1771.57,0.46
2002,4,2002.292,1772.69,0.76,1771.74,0.47
2002,5,2002.375,1770.26,0.83,1771.92,0.49
2002,6,2002.458,1766.91,0.94,1772.14,0.51
2002,7,2002.542,1764.31,0.91,1772.38,0.53
2002,8,2002.625,1767.05,0.90,1772.67,0.56
2002,9,2002.708,1773.77,0.98,1773.00,0.58
2002,10,2002.792,1778.23,1.32,1773.37,0.59
2002,11,2002.875,1779.55,1.18,1773.78,0.60
2002,12,2002.958,1779.73,0.75,1774.24,0.60
2003,1,2003.042,1777.53,0.96,1774.76,0.60
2003,2,2003.125,1774.84,1.04,1775.28,0.59
2003,3,2003.208,1774.85,0.80,1775.82,0.58
2003,4,2003.292,1775.71,1.26,1776.39,0.56
2003,5,2003.375,1774.41,1.02,1776.96,0.54
2003,6,2003.458,1771.71,1.36,1777.51,0.53
2003,7,2003.542,1770.67,1.82,1778.01,0.52
2003,8,2003.625,1774.23,1.59,1778.46,0.51
2003,9,2003.708,1780.50,0.99,1778.82,0.51
2003,10,2003.792,1784.66,0.81,1779.09,0.50
2003,11,2003.875,1785.31,0.93,1779.26,0.50
2003,12,2003.958,1783.59,1.02,1779.30,0.50
2004,1,2004.042,1780.83,0.99,1779.23,0.49
2004,2,2004.125,1779.94,0.85,1779.05,0.49
2004,3,2004.208,1780.98,0.83,1778.78,0.49
2004,4,2004.292,1780.70,0.74,1778.39,0.49
2004,5,2004.375,1777.58,0.98,1777.94,0.49
2004,6,2004.458,1772.32,1.20,1777.43,0.50
2004,7,2004.542,1767.98,0.78,1776.89,0.51
2004,8,2004.625,1769.71,0.87,1776.35,0.52
2004,9,2004.708,1775.48,1.05,1775.82,0.53
2004,10,2004.792,1779.66,0.87,1775.34,0.53
2004,11,2004.875,1780.48,0.92,1774.93,0.53
2004,12,2004.958,1778.29,0.94,1774.58,0.53
2005,1,2005.042,1776.01,1.07,1774.32,0.53
2005,2,2005.125,1775.61,0.99,1774.15,0.53
2005,3,2005.208,1775.49,0.94,1774.06,0.53
2005,4,2005.292,1774.59,0.85,1774.04,0.53
2005,5,2005.375,1772.32,0.67,1774.08,0.54
2005,6,2005.458,1768.73,0.97,1774.17,0.55
2005,7,2005.542,1766.30,0.87,1774.29,0.57
2005,8,2005.625,1768.03,1.06,1774.42,0.58
2005,9,2005.708,1773.25,1.19,1774.54,0.59
2005,10,2005.792,1778.59,1.12,1774.65,0.58
2005,11,2005.875,1781.11,0.81,1774.72,0.58
2005,12,2005.958,1780.12,1.27,1774.76,0.56
2006,1,2006.042,1779.40,0.93,1774.77,0.53
2006,2,2006.125,1779.39,0.80,1774.76,0.51
2006,3,2006.208,1777.37,0.71,1774.73,0.48
2006,4,2006.292,1776.10,0.56,1774.70,0.46
2006,5,2006.375,1774.96,0.89,1774.69,0.45
2006,6,2006.458,1769.32,1.23,1774.71,0.45
2006,7,2006.542,1764.16,1.12,1774.79,0.46
2006,8,2006.625,1767.22,1.14,1774.94,0.48
2006,9,2006.708,1774.60,1.33,1775.18,0.50
2006,10,2006.792,1778.19,0.86,1775.50,0.51
2006,11,2006.875,1779.00,0.67,1775.91,0.53
2006,12,2006.958,1779.93,0.82,1776.41,0.54
2007,1,2007.042,1779.20,1.03,1777.01,0.55
2007,2,2007.125,1778.66,0.98,1777.63,0.56
2007,3,2007.208,1780.34,0.86,1778.30,0.57
2007,4,2007.292,1781.10,1.06,1779.03,0.58
2007,5,2007.375,1779.44,1.32,1779.77,0.58
2007,6,2007.458,1775.63,1.02,1780.50,0.59
2007,7,2007.542,1772.57,1.04,1781.22,0.59
2007,8,2007.625,1777.20,1.54,1781.91,0.60
2007,9,2007.708,1785.94,1.59,1782.56,0.60
2007,10,2007.792,1789.84,1.09,1783.17,0.60
2007,11,2007.875,1789.50,0.96,1783.74,0.60
2007,12,2007.958,1788.24,1.07,1784.27,0.60
2008,1,2008.042,1786.72,1.07,1784.81,0.60
2008,2,2008.125,1785.78,1.06,1785.29,0.60
2008,3,2008.208,1786.10,1.23,1785.77,0.60
2008,4,2008.292,1786.83,1.08,1786.28,0.60
2008,5,2008.375,1785.18,0.92,1786.79,0.59
2008,6,2008.458,1780.46,0.88,1787.33,0.57
2008,7,2008.542,1777.59,0.89,1787.88,0.55
2008,8,2008.625,1781.03,0.97,1788.46,0.53
2008,9,2008.708,1787.67,0.98,1789.04,0.51
2008,10,2008.792,1793.66,0.67,1789.63,0.48
2008,11,2008.875,1797.33,1.20,1790.22,0.46
2008,12,2008.958,1796.67,1.18,1790.79,0.46
2009,1,2009.042,1795.11,0.83,1791.35,0.46
2009,2,2009.125,1795.65,1.02,1791.86,0.48
2009,3,2009.208,1796.08,0.98,1792.34,0.50
2009,4,2009.292,1795.60,0.75,1792.79,0.53
2009,5,2009.375,1792.35,0.66,1793.21,0.56
2009,6,2009.458,1786.91,0.84,1793.60,0.59
2009,7,2009.542,1784.92,1.05,1793.95,0.61
2009,8,2009.625,1788.82,0.99,1794.29,0.62
2009,9,2009.708,1794.82,1.29,1794.61,0.63
2009,10,2009.792,1798.00,1.41,1794.92,0.62
2009,11,2009.875,1797.90,0.82,1795.24,0.61
2009,12,2009.958,1796.73,0.93,1795.57,0.60
2010,1,2010.042,1797.09,1.26,1795.92,0.58
2010,2,2010.125,1798.74,1.34,1796.28,0.57
2010,3,2010.208,1799.45,1.20,1796.65,0.57
2010,4,2010.292,1799.59,0.92,1797.06,0.57
2010,5,2010.375,1797.71,1.18,1797.49,0.58
2010,6,2010.458,1792.56,1.29,1797.94,0.59
2010,7,2010.542,1789.40,0.95,1798.40,0.61
2010,8,2010.625,1794.02,0.93,1798.87,0.62
2010,9,2010.708,1801.79,1.00,1799.34,0.63
2010,10,2010.792,1806.48,1.05,1799.80,0.63
2010,11,2010.875,1807.01,1.02,1800.26,0.63
2010,12,2010.958,1803.61,0.97,1800.71,0.62
2011,1,2011.042,1800.45,1.03,1801.16,0.61
2011,2,2011.125,1800.21,0.79,1801.57,0.61
2011,3,2011.208,1801.00,0.58,1801.98,0.60
2011,4,2011.292,1802.85,0.66,1802.39,0.61
2011,5,2011.375,1803.32,0.83,1802.79,0.61
2011,6,2011.458,1799.20,0.69,1803.18,0.63
2011,7,2011.542,1796.13,0.85,1803.58,0.64
2011,8,2011.625,1798.95,1.04,1803.98,0.65
2011,9,2011.708,1804.01,1.80,1804.37,0.65
2011,10,2011.792,1809.49,1.64,1804.77,0.65
2011,11,2011.875,1812.32,1.11,1805.18,0.64
2011,12,2011.958,1810.02,0.94,1805.60,0.63
2012,1,2012.042,1807.29,0.95,1806.03,0.60
2012,2,2012.125,1808.27,1.18,1806.45,0.58
2012,3,2012.208,1809.96,0.82,1806.87,0.56
2012,4,2012.292,1808.38,0.54,1807.32,0.55
2012,5,2012.375,1804.69,1.16,1807.77,0.53
2012,6,2012.458,1800.94,1.18,1808.21,0.53
2012,7,2012.542,1799.24,1.12,1808.65,0.52
2012,8,2012.625,1803.19,1.02,1809.08,0.53
2012,9,2012.708,1810.10,1.13,1809.50,0.53
2012,10,2012.792,1814.72,1.06,1809.90,0.54
2012,11,2012.875,1815.86,1.15,1810.28,0.55
2012,12,2012.958,1814.62,0.84,1810.64,0.56
2013,1,2013.042,1814.13,0.91,1810.99,0.58
2013,2,2013.125,1814.22,1.27,1811.32,0.59
2013,3,2013.208,1813.30,1.00,1811.64,0.60
2013,4,2013.292,1812.80,0.74,1811.97,0.62
2013,5,2013.375,1811.88,0.86,1812.32,0.63
2013,6,2013.458,1808.46,1.41,1812.69,0.64
2013,7,2013.542,1805.68,1.70,1813.10,0.64
2013,8,2013.625,1808.37,1.23,1813.57,0.64
2013,9,2013.708,1814.30,0.98,1814.09,0.64
2013,10,2013.792,1818.55,0.71,1814.68,0.63
2013,11,2013.875,1820.37,0.68,1815.36,0.62
2013,12,2013.958,1819.40,0.89,1816.11,0.61
2014,1,2014.042,1816.89,1.03,1816.97,0.60
2014,2,2014.125,1816.40,1.20,1817.85,0.59
2014,3,2014.208,1818.11,1.21,1818.81,0.58
2014,4,2014.292,1820.88,0.79,1819.85,0.57
2014,5,2014.375,1821.95,0.83,1820.95,0.56
2014,6,2014.458,1818.41,0.81,1822.07,0.55
2014,7,2014.542,1815.60,1.02,1823.22,0.55
2014,8,2014.625,1819.82,1.14,1824.39,0.54
2014,9,2014.708,1826.97,1.15,1825.52,0.54
2014,10,2014.792,1831.25,0.66,1826.64,0.53
2014,11,2014.875,1833.09,0.65,1827.72,0.53
2014,12,2014.958,1833.54,1.05,1828.77,0.53
2015,1,2015.042,1832.89,1.21,1829.79,0.54
2015,2,2015.125,1832.73,0.98,1830.73,0.54
2015,3,2015.208,1833.07,0.76,1831.62,0.54
2015,4,2015.292,1833.19,0.93,1832.52,0.54
2015,5,2015.375,1831.79,0.92,1833.38,0.54
2015,6,2015.458,1827.37,0.85,1834.22,0.54
2015,7,2015.542,1824.80,1.06,1835.03,0.54
2015,8,2015.625,1829.16,1.05,1835.85,0.54
2015,9,2015.708,1836.23,1.03,1836.63,0.54
2015,10,2015.792,1841.49,0.84,1837.41,0.54
2015,11,2015.875,1844.75,0.99,1838.17,0.54
2015,12,2015.958,1844.88,1.06,1838.92,0.55
2016,1,2016.042,1842.38,0.85,1839.68,0.56
2016,2,2016.125,1841.64,0.99,1840.37,0.57
2016,3,2016.208,1843.01,0.76,1841.03,0.57
2016,4,2016.292,1843.72,0.56,1841.71,0.58
2016,5,2016.375,1842.13,0.78,1842.35,0.59
2016,6,2016.458,1837.87,1.12,1842.95,0.59
2016,7,2016.542,1834.15,1.06,1843.53,0.60
2016,8,2016.625,1836.68,1.13,1844.10,0.60
2016,9,2016.708,1844.21,1.35,1844.63,0.59
2016,10,2016.792,1849.86,1.15,1845.14,0.59
2016,11,2016.875,1851.42,1.13,1845.64,0.58
2016,12,2016.958,1851.10,0.93,1846.12,0.57
2017,1,2017.042,1849.80,0.88,1846.62,0.56
2017,2,2017.125,1848.55,1.09,1847.09,0.56
2017,3,2017.208,1848.33,1.16,1847.58,0.55
2017,4,2017.292,1848.60,1.08,1848.09,0.55
2017,5,2017.375,1847.18,0.84,1848.61,0.56
2017,6,2017.458,1842.99,0.96,1849.16,0.57
2017,7,2017.542,1840.38,1.32,1849.73,0.58
2017,8,2017.625,1844.65,1.18,1850.33,0.60
2017,9,2017.708,1852.80,0.99,1850.94,0.62
2017,10,2017.792,1858.08,0.96,1851.57,0.65
2017,11,2017.875,1858.69,0.82,1852.23,0.67
2017,12,2017.958,1856.67,0.94,1852.90,0.70
2018,1,2018.042,1854.46,1.02,1853.60,0.73
2018,2,2018.125,1854.96,0.95,1854.29,0.75
2018,3,2018.208,1856.87,0.95,1854.98,0.77
2018,4,2018.292,1856.65,1.09,1855.71,0.80
2018,5,2018.375,1854.79,1.65,1856.45,0.81
2018,6,2018.458,1852.00,1.67,1857.18,0.83
2018,7,2018.542,1849.03,1.58,1857.92,0.84
2018,8,2018.625,1851.87,1.69,1858.67,0.85
2018,9,2018.708,1860.46,0.97,1859.41,0.84
